Year,Region,Mission Type,Diplomatic Missions,International Agreements,Agreement Type,Foreign Visits by Officials,Official Rank,Foreign Delegations to Ukraine,Trade Agreements Signed,Budget Spent (mln USD)
2007,South America,Consulate,109,139,Cultural Exchange,47,Deputy Minister,25,39,23.5
2001,Asia,Embassy,93,156,Security Pact,76,Deputy Minister,17,14,96.23
2016,Europe,Embassy,103,112,Cultural Exchange,45,Minister,56,28,58.11
2023,Asia,Delegation,99,112,Cultural Exchange,46,Ambassador,14,25,32.54
2010,South America,Permanent Mission,96,153,Cultural Exchange,78,Deputy Minister,32,14,54.49
2015,South America,Delegation,88,120,Political Agreement,38,Ambassador,25,32,61.08
2000,Europe,Consulate,93,115,Political Agreement,22,Consul,62,31,88.73
2015,Asia,Consulate,103,148,Cultural Exchange,31,Deputy Minister,14,31,28.17
2009,Africa,Delegation,96,105,Security Pact,59,Minister,21,7,74.85
2006,North America,Permanent Mission,84,101,Security Pact,46,Deputy Minister,15,10,72.68
2012,Europe,Embassy,98,111,Cultural Exchange,31,Consul,46,8,31.63
2021,Europe,Embassy,84,121,Cultural Exchange,62,Deputy Minister,51,12,58.22
2002,North America,Delegation,92,149,Trade Agreement,50,Minister,25,29,19.42
2003,South America,Permanent Mission,92,118,Trade Agreement,42,Ambassador,43,10,43.75
2003,Europe,Embassy,89,112,Political Agreement,47,Ambassador,21,37,37
2008,Europe,Consulate,104,123,Cultural Exchange,45,Minister,37,29,67.26
2007,North America,Embassy,107,118,Cultural Exchange,72,Minister,51,46,81.93
2011,Europe,Delegation,103,159,Cultural Exchange,71,Consul,42,34,46.11
2015,Europe,Embassy,107,137,Security Pact,43,Consul,52,27,52.62
2002,South America,Delegation,109,132,Cultural Exchange,71,Ambassador,35,13,35.82
2004,South America,Consulate,108,152,Trade Agreement,36,Ambassador,61,12,47.28
2007,North America,Permanent Mission,93,159,Security Pact,50,Minister,10,31,8.94
2009,Africa,Consulate,85,150,Political Agreement,70,Consul,57,33,73.21
2012,Asia,Permanent Mission,87,124,Political Agreement,68,Deputy Minister,17,35,23.14
2015,North America,Embassy,105,109,Security Pact,42,Consul,31,37,98.66
2014,Asia,Consulate,106,112,Trade Agreement,77,Minister,20,43,80.94
2009,Africa,Permanent Mission,103,136,Trade Agreement,54,Consul,18,6,85.34
2022,North America,Delegation,94,116,Cultural Exchange,30,Deputy Minister,55,35,72.6
2018,Africa,Consulate,88,144,Trade Agreement,70,Ambassador,41,35,60.54
2018,North America,Delegation,102,154,Cultural Exchange,64,Deputy Minister,23,8,57.97
2019,Asia,Consulate,96,133,Security Pact,23,Minister,56,22,57.68
2001,Asia,Embassy,103,155,Political Agreement,65,Ambassador,47,24,38.89
2006,Africa,Delegation,90,132,Trade Agreement,25,Deputy Minister,47,38,60.57
2023,Europe,Permanent Mission,91,120,Political Agreement,75,Consul,52,36,84.42
2002,Asia,Embassy,86,111,Cultural Exchange,67,Consul,11,38,10.02
2005,Europe,Permanent Mission,84,101,Political Agreement,53,Ambassador,39,21,71.52
2023,North America,Permanent Mission,102,111,Cultural Exchange,43,Minister,20,26,64.13
2009,Africa,Delegation,97,103,Cultural Exchange,32,Ambassador,47,35,45.02
2020,Asia,Delegation,102,144,Political Agreement,67,Minister,35,35,88.8
2002,North America,Delegation,105,156,Cultural Exchange,47,Deputy Minister,27,49,7.97
2010,Europe,Embassy,107,107,Trade Agreement,29,Deputy Minister,60,44,97.04
2020,Africa,Consulate,99,155,Security Pact,41,Minister,63,28,56.85
2005,South America,Delegation,106,128,Political Agreement,65,Minister,50,43,17.32
2002,Europe,Permanent Mission,92,145,Cultural Exchange,44,Ambassador,57,23,17.93
2003,South America,Permanent Mission,99,101,Trade Agreement,21,Consul,33,45,73.39
2018,South America,Permanent Mission,101,107,Trade Agreement,36,Deputy Minister,30,30,59.21
2004,North America,Delegation,94,137,Security Pact,76,Ambassador,43,48,29.87
2003,Africa,Permanent Mission,93,141,Security Pact,59,Ambassador,66,38,2.66
2014,Asia,Embassy,97,117,Trade Agreement,41,Minister,18,45,71.43
2006,Europe,Permanent Mission,91,124,Political Agreement,23,Consul,26,8,99.42
2020,Europe,Consulate,86,136,Trade Agreement,23,Consul,68,46,33.74
2006,North America,Delegation,107,122,Political Agreement,30,Ambassador,66,41,24.33
2013,North America,Delegation,102,144,Political Agreement,69,Deputy Minister,27,49,93.83
2011,North America,Consulate,87,149,Trade Agreement,41,Ambassador,15,49,63.85
2000,Asia,Embassy,94,153,Political Agreement,34,Deputy Minister,46,11,71
2014,Europe,Permanent Mission,83,155,Trade Agreement,72,Ambassador,53,14,77.2
2017,South America,Permanent Mission,87,148,Trade Agreement,69,Consul,48,11,27.74
2016,South America,Consulate,93,142,Trade Agreement,77,Ambassador,42,30,64.96
2002,North America,Delegation,82,128,Political Agreement,50,Consul,35,28,79.51
2016,Europe,Consulate,102,134,Cultural Exchange,77,Ambassador,26,33,39.69
2008,North America,Delegation,86,127,Political Agreement,30,Minister,17,20,45.93
2018,North America,Delegation,83,158,Security Pact,34,Deputy Minister,44,40,96.93
2004,Europe,Embassy,109,142,Trade Agreement,23,Consul,54,42,40.69
2008,South America,Embassy,94,142,Political Agreement,27,Minister,57,22,4.44
2017,Asia,Delegation,90,103,Trade Agreement,55,Minister,11,6,27.07
2008,South America,Consulate,85,137,Trade Agreement,66,Consul,13,37,4.57
2002,Asia,Consulate,107,135,Cultural Exchange,37,Ambassador,56,39,88.61
2017,South America,Embassy,92,134,Trade Agreement,39,Consul,19,31,92.13
2021,Asia,Embassy,80,156,Political Agreement,29,Consul,22,19,98.78
2013,Africa,Permanent Mission,80,122,Cultural Exchange,65,Consul,19,49,43.21
2010,Africa,Permanent Mission,94,153,Cultural Exchange,66,Ambassador,34,29,14.06
2010,Europe,Permanent Mission,89,143,Trade Agreement,30,Minister,39,42,71.76
2009,Asia,Permanent Mission,89,158,Trade Agreement,30,Deputy Minister,42,41,24.43
2005,South America,Delegation,92,115,Trade Agreement,27,Consul,24,32,95.21
2021,Africa,Consulate,82,120,Cultural Exchange,77,Minister,33,21,12.27
2017,Africa,Consulate,109,105,Political Agreement,67,Deputy Minister,45,44,77.94
2023,Europe,Consulate,94,113,Political Agreement,59,Consul,22,48,81.18
2023,Africa,Delegation,90,156,Political Agreement,25,Ambassador,50,32,11.92
2017,South America,Permanent Mission,80,159,Security Pact,74,Deputy Minister,47,23,81.75
2014,Africa,Delegation,81,132,Cultural Exchange,58,Deputy Minister,47,44,53.67
2020,Asia,Delegation,101,148,Political Agreement,36,Consul,47,25,78.17
2011,Europe,Permanent Mission,89,124,Cultural Exchange,72,Deputy Minister,44,42,90.65
2021,Europe,Embassy,107,150,Security Pact,49,Deputy Minister,17,30,7.46
2013,North America,Consulate,108,125,Political Agreement,70,Minister,37,27,8.15
2009,South America,Delegation,87,150,Trade Agreement,39,Ambassador,64,17,82.84
2005,South America,Permanent Mission,93,143,Political Agreement,79,Ambassador,10,46,54.76
2014,Africa,Delegation,94,112,Trade Agreement,32,Ambassador,36,46,74.83
2005,Europe,Consulate,89,119,Political Agreement,55,Consul,57,14,99.09
2017,Europe,Embassy,106,131,Security Pact,25,Ambassador,55,11,2.9
2007,Asia,Embassy,81,155,Security Pact,59,Deputy Minister,64,22,34.51
2016,Africa,Embassy,89,115,Political Agreement,71,Deputy Minister,37,29,40.04
2022,Asia,Delegation,107,106,Security Pact,41,Consul,62,6,28.83
2020,South America,Permanent Mission,80,122,Political Agreement,79,Minister,49,18,95.69
2006,North America,Delegation,84,102,Political Agreement,53,Minister,28,22,63.16
2011,Europe,Embassy,96,101,Political Agreement,55,Deputy Minister,43,14,18.61
2011,North America,Embassy,82,127,Cultural Exchange,59,Consul,10,44,55.46
2013,North America,Permanent Mission,88,122,Cultural Exchange,23,Ambassador,44,31,3.4
2018,South America,Permanent Mission,107,140,Political Agreement,63,Deputy Minister,13,35,44.17
2007,Asia,Embassy,101,158,Cultural Exchange,60,Deputy Minister,21,11,16.64
2002,Africa,Permanent Mission,98,116,Political Agreement,72,Minister,43,42,40.37
2002,Europe,Consulate,error_value,132,Cultural Exchange,42,Minister,34,45,14.35
2009,Africa,Embassy,95,144,Cultural Exchange,40,Minister,31,27,63.4
2009,North America,Delegation,84,121,Cultural Exchange,22,Consul,52,14,87.28
2007,Africa,Embassy,98,106,Trade Agreement,79,Ambassador,11,30,34.26
2004,North America,Consulate,108,157,Political Agreement,58,Minister,33,38,45.85
2015,Europe,Embassy,92,134,Security Pact,63,Consul,30,13,39.17
2020,North America,Delegation,85,152,Political Agreement,25,Consul,68,24,73.77
2022,North America,Consulate,91,123,Security Pact,56,Consul,56,34,91.85
2001,South America,Permanent Mission,105,132,Trade Agreement,48,Consul,52,39,75.77
2018,South America,Delegation,107,121,Security Pact,20,Deputy Minister,47,42,91.21
2008,Europe,Embassy,102,111,Security Pact,41,Minister,58,49,4.01
2000,Asia,Permanent Mission,109,117,Political Agreement,41,Deputy Minister,60,18,8.55
2005,Europe,Delegation,97,107,Security Pact,20,Minister,38,37,89.56
2011,Europe,Delegation,94,112,Trade Agreement,52,Minister,21,22,34.78
2022,Asia,Embassy,87,126,Political Agreement,35,Ambassador,25,28,10.39
2001,North America,Permanent Mission,97,156,Security Pact,79,Consul,62,6,59.32
2007,Europe,Permanent Mission,87,131,Cultural Exchange,74,Deputy Minister,48,48,88.77
2005,Africa,Embassy,89,129,Trade Agreement,27,Deputy Minister,46,44,48.86
2010,North America,Delegation,106,138,Security Pact,33,Consul,66,23,5.17
2010,Africa,Consulate,85,115,Security Pact,41,Ambassador,42,8,55.48
2001,Asia,Permanent Mission,82,146,Trade Agreement,50,Deputy Minister,30,30,35.89
2005,South America,Permanent Mission,96,106,Trade Agreement,31,Consul,28,9,14.49
2005,Asia,Embassy,87,119,Trade Agreement,66,Deputy Minister,29,13,35.27
2004,Africa,Permanent Mission,96,142,Security Pact,33,Ambassador,68,24,27.23
2008,Asia,Embassy,97,131,Cultural Exchange,26,Deputy Minister,29,28,5.17
2019,Europe,Permanent Mission,90,140,Political Agreement,33,Consul,27,28,58.34
2002,Asia,Embassy,105,159,Security Pact,59,Ambassador,61,27,13.2
2003,Asia,Delegation,82,150,Security Pact,37,Minister,57,5,64.65
2013,North America,Delegation,85,101,Security Pact,23,Ambassador,25,25,32.2
2017,Africa,Delegation,96,117,Security Pact,39,Deputy Minister,66,13,31.04
2013,Asia,Embassy,87,127,Trade Agreement,73,Ambassador,33,42,15.38
2011,Africa,Consulate,84,135,Security Pact,71,Consul,10,12,69.11
2003,North America,Consulate,93,113,Cultural Exchange,32,Consul,58,17,11.03
2019,Asia,Delegation,104,100,Security Pact,66,Ambassador,19,39,3.53
2020,Europe,Permanent Mission,85,141,Political Agreement,68,Deputy Minister,17,33,5.61
2005,Europe,Consulate,81,149,Trade Agreement,66,Deputy Minister,59,22,58.95
2014,Europe,Consulate,94,112,Cultural Exchange,61,Minister,42,16,18.58
2022,Africa,Consulate,98,109,Trade Agreement,30,Deputy Minister,21,45,88.48
2018,North America,Permanent Mission,93,112,Trade Agreement,73,Ambassador,40,42,37.23
2019,Asia,Delegation,103,100,Trade Agreement,45,Ambassador,59,23,15.85
2018,North America,Permanent Mission,99,150,Trade Agreement,48,Consul,51,23,13.62
2013,Europe,Delegation,94,109,Cultural Exchange,20,Consul,40,46,73.24
2001,Africa,Embassy,91,123,Trade Agreement,33,Consul,32,32,62.53
2005,North America,Delegation,93,110,Cultural Exchange,68,Minister,60,18,52.66
2009,South America,Delegation,90,114,Political Agreement,37,Deputy Minister,11,15,29.1
2013,South America,Embassy,103,155,Trade Agreement,50,Minister,30,6,55.93
2008,Asia,Embassy,93,156,Cultural Exchange,24,Minister,57,39,10.61
2019,South America,Permanent Mission,84,136,Trade Agreement,59,Ambassador,52,22,61.94
2012,South America,Consulate,99,108,Security Pact,57,Deputy Minister,42,28,48.08
2019,North America,Embassy,106,121,Security Pact,27,Minister,14,47,81.16
2007,Asia,Permanent Mission,92,145,Political Agreement,58,Ambassador,62,32,89.11
2005,Asia,Consulate,99,135,Trade Agreement,79,Ambassador,58,20,55.72
2011,Europe,Consulate,88,128,Cultural Exchange,38,Minister,23,43,90.16
2011,Asia,Permanent Mission,101,121,Security Pact,38,Consul,47,33,96.5
2003,Africa,Consulate,109,130,Security Pact,58,Consul,15,23,21.6
2014,Europe,Embassy,87,100,Cultural Exchange,62,Minister,44,18,32.49
2004,North America,Delegation,105,114,Cultural Exchange,66,Consul,13,37,31.07
2015,Africa,Consulate,96,155,Political Agreement,64,Minister,50,10,14.52
2001,Europe,Consulate,93,119,Security Pact,62,Ambassador,50,43,70.79
2013,South America,Permanent Mission,105,100,Political Agreement,62,Deputy Minister,64,16,34.05
2007,Asia,Embassy,92,155,Security Pact,72,Minister,55,45,51.59
2006,North America,Consulate,100,104,Cultural Exchange,63,Deputy Minister,33,13,53.82
2002,Europe,Delegation,101,115,Trade Agreement,52,Ambassador,33,17,90.19
2016,Europe,Permanent Mission,100,151,Political Agreement,51,Ambassador,27,42,77.95
2001,Europe,Embassy,102,148,Political Agreement,33,Deputy Minister,43,34,80.62
2015,Africa,Embassy,105,152,Security Pact,38,Minister,20,48,43.11
2007,Asia,Consulate,87,129,Trade Agreement,28,Deputy Minister,23,24,73.76
2009,North America,Embassy,91,115,Cultural Exchange,34,Minister,39,16,8.41
2004,Asia,Embassy,105,123,Security Pact,21,Ambassador,32,48,52.56
2015,North America,Delegation,96,100,Trade Agreement,36,Consul,43,23,87.34
2010,North America,Delegation,90,118,Security Pact,29,Consul,56,25,3.71
2013,South America,Consulate,80,106,Security Pact,67,Ambassador,18,5,57.12
2007,Asia,Embassy,93,131,Trade Agreement,79,Deputy Minister,24,8,5.24
2022,Asia,Embassy,101,117,Security Pact,43,Consul,42,34,65.33
2003,Asia,Delegation,87,108,Cultural Exchange,52,Consul,35,33,17.86
2019,Africa,Permanent Mission,100,103,Cultural Exchange,75,Consul,32,14,32.07
2001,South America,Embassy,86,152,Cultural Exchange,36,Ambassador,29,8,24.44
2000,North America,Consulate,88,150,Trade Agreement,52,Ambassador,50,12,1.02
2013,Europe,Embassy,103,125,Trade Agreement,74,Consul,26,35,7.79
2020,Europe,Consulate,99,101,Security Pact,73,Consul,63,45,45.39
2016,North America,Delegation,95,118,Political Agreement,65,Ambassador,36,35,28.75
2010,Africa,Embassy,104,124,Political Agreement,66,Minister,51,39,72.23
2009,South America,Permanent Mission,106,142,Trade Agreement,68,Ambassador,58,12,86.39
2012,South America,Consulate,83,151,Political Agreement,33,Ambassador,48,45,40.99
2013,North America,Consulate,107,126,Trade Agreement,44,Consul,68,15,53.52
2012,South America,Consulate,104,110,Trade Agreement,42,Ambassador,63,27,10.1
2008,North America,Consulate,93,144,Trade Agreement,23,Deputy Minister,64,21,59.06
2007,Asia,Consulate,105,121,Security Pact,61,Minister,49,37,37.76
2000,North America,Delegation,94,126,Political Agreement,30,Deputy Minister,34,30,25.59
2005,North America,Permanent Mission,96,100,Trade Agreement,56,Deputy Minister,27,47,69.64
2019,Africa,Embassy,96,140,Cultural Exchange,40,Ambassador,53,5,77.15
2015,North America,Permanent Mission,84,159,Political Agreement,37,Deputy Minister,17,14,17.03
2008,North America,Delegation,85,113,Political Agreement,40,Ambassador,32,10,40.4
2002,Africa,Embassy,93,112,Cultural Exchange,60,Ambassador,67,22,28.32
2003,Europe,Delegation,82,118,Political Agreement,47,Deputy Minister,20,47,15.66
2000,Africa,Delegation,92,100,Trade Agreement,42,Deputy Minister,30,32,17.75
2014,Europe,Consulate,107,103,Political Agreement,52,Consul,68,41,27.88
2002,Europe,Permanent Mission,83,110,Security Pact,64,Consul,10,9,48.63
2017,Africa,Embassy,107,155,Political Agreement,31,Deputy Minister,50,30,84.27
2013,Africa,Permanent Mission,102,112,Security Pact,53,Ambassador,53,45,74.35
2016,North America,Delegation,90,147,Trade Agreement,50,Consul,10,16,
2001,Asia,Permanent Mission,94,119,Cultural Exchange,27,Minister,61,36,78.23
2016,Europe,Consulate,106,156,Cultural Exchange,79,Consul,22,22,59.54
2007,Asia,Permanent Mission,95,113,Political Agreement,20,Consul,30,6,66.63
2019,South America,Embassy,106,144,Trade Agreement,20,Minister,67,11,10
2016,Africa,Permanent Mission,83,103,Trade Agreement,45,Consul,43,5,4.65
2018,South America,Delegation,103,106,Security Pact,36,Deputy Minister,26,15,89.8
2010,Europe,Permanent Mission,100,159,Political Agreement,64,Ambassador,52,19,66.03
2023,Asia,Permanent Mission,100,144,Trade Agreement,49,Ambassador,63,7,18
2008,Europe,Consulate,102,131,Political Agreement,59,Consul,33,24,67.46
2010,North America,Delegation,99,113,Security Pact,25,Deputy Minister,36,37,20.42
2005,North America,Embassy,96,116,Trade Agreement,70,Deputy Minister,65,23,91.85
2013,Europe,Delegation,92,138,Cultural Exchange,38,Minister,64,9,98.54
2002,South America,Delegation,109,123,Political Agreement,58,Consul,49,27,65.4
2022,North America,Consulate,109,145,Security Pact,30,Minister,42,36,2.65
2021,Europe,Permanent Mission,105,134,Security Pact,62,Ambassador,19,8,54.15
2003,Asia,Delegation,88,139,Trade Agreement,54,Minister,35,18,60.17
2003,Asia,Permanent Mission,101,152,Security Pact,44,Ambassador,21,26,5.47
2010,Africa,Consulate,107,102,Political Agreement,40,Consul,25,44,13.29
2012,South America,Permanent Mission,107,118,Cultural Exchange,46,Minister,37,10,45.84
2018,Africa,Consulate,88,122,Cultural Exchange,48,Minister,39,43,64.24
2012,Africa,Consulate,94,149,Security Pact,21,Deputy Minister,62,7,32.23
2004,South America,Permanent Mission,107,151,Cultural Exchange,78,Deputy Minister,51,11,21.58
2017,Europe,Consulate,80,119,Trade Agreement,24,Minister,37,43,83.57
2009,Asia,Permanent Mission,106,139,Cultural Exchange,22,Ambassador,51,29,73.23
2003,North America,Delegation,107,108,Cultural Exchange,40,Consul,47,16,64.82
2010,North America,Consulate,87,118,Political Agreement,69,Minister,44,18,48.4
2020,Europe,Delegation,86,120,Trade Agreement,74,Deputy Minister,27,25,9.21
2002,Africa,Delegation,98,127,Political Agreement,69,Deputy Minister,15,10,27.6
2010,North America,Embassy,82,133,Security Pact,24,Ambassador,50,11,83.63
2013,Asia,Embassy,94,118,Trade Agreement,60,Ambassador,13,16,39.42
2019,South America,Consulate,87,120,Political Agreement,76,Minister,31,32,3.39
2017,South America,Consulate,109,151,Security Pact,37,Minister,36,38,9.51
2005,South America,Embassy,95,127,Security Pact,75,Ambassador,66,5,86.1
2013,North America,Consulate,82,131,Political Agreement,57,Minister,20,39,24.85
2004,Africa,Consulate,82,116,Security Pact,52,Ambassador,48,23,27.3
2017,Europe,Permanent Mission,86,141,Trade Agreement,49,Consul,69,44,62.84
2023,Asia,Embassy,89,133,Security Pact,41,Consul,60,42,83.7
2020,North America,Embassy,80,157,Cultural Exchange,70,Ambassador,44,49,5.61
2011,Asia,Embassy,83,128,Security Pact,43,Minister,20,7,90.02
2002,North America,Embassy,108,159,Political Agreement,63,Minister,47,9,12.77
2001,South America,Delegation,91,121,Trade Agreement,56,Ambassador,22,34,61.57
2020,South America,Consulate,89,138,Cultural Exchange,63,Ambassador,12,30,1.84
2004,Europe,Delegation,88,154,Cultural Exchange,65,Consul,54,45,84.05
2023,South America,Embassy,88,142,Trade Agreement,31,Ambassador,53,18,9.31
2014,South America,Permanent Mission,95,139,Political Agreement,32,Consul,45,8,8.16
2003,Asia,Delegation,89,117,Political Agreement,54,Consul,12,43,37.47
